Hotel Name,Review,Number of Reviews,Review Score,City
Urban Oasis Stylish Apartment,Exceptional,1 review,8.0,
Radisson Dubai Damac Hills,8.0,"2,569 reviews",8.4,
Contemporary Studio-Ghalia Tower,Very good,1 review,10,
Vogue JVC - Regina Tower,8.4,"4,450 reviews",7.8,
Queen Elizabeth 2 Hotel,Very good,"2,872 reviews",7.8,
"Holiday Inn Dubai Al-Maktoum Airport, an IHG Hotel",10,"16,598 reviews",7.8,
"Holiday Inn Express Dubai Airport, an IHG Hotel",Exceptional,551 reviews,8.3,
"DAMAC Hills 2 Hotel, an Edge by Rotana Hotel",7.8,"5,710 reviews",7.9,
Hyatt Regency Dubai - Corniche,Good,"10,375 reviews",7.3,
Elegant One Bed Room Apartment,7.8,"10,886 reviews",7.7,
Howard Johnson Plaza by Wyndham Dubai Deira,Good,"3,431 reviews",8.3,
ibis Styles Dubai Airport Hotel,7.8,"10,242 reviews",8.2,
Studio M Al Barsha Hotel by Millennium,Good,"4,024 reviews",8.1,
Millennium Airport Hotel Dubai,8.3,"3,536 reviews",7.2,
Grand Excelsior Hotel - Bur Dubai,Very good,4 reviews,7.0,
LUX The Marina Ocean View Suite 4,7.9,"6,667 reviews",7.4,
MH- Stunning 2 BHK Apartment with an Iconic view of the Burj Khalifa ref 2503,Good,"6,880 reviews",7.7,
Furnished 1 Bedroom Apartment,7.3,1 review,10,
Ibis Styles Dragon Mart Dubai,Good,"2,121 reviews",8.2,
The Horizon by Beds & Company,10,3 reviews,10,
Vogue Jumeirah Living - Near Burj Al Arab & Beach,Exceptional,1 review,3.0,
Cozy Serenity,3.0,1 review,1.0,
"WelHome - Apt amidst golf courses, perfect for sports lovers",Review score,"3,694 reviews",7.5,
Superb 1 bedroom apartment with all the amenities,1.0,364 reviews,6.3,
Himalaya Holiday Homes -Studio,Review score,"2,955 reviews",8.2,
Beautiful 2BR in Downtown,7.5,"7,986 reviews",7.8,
"Mercure Gold Hotel, Jumeirah, Dubai",Good,"14,143 reviews",8.1,
CITY PALACE HOTEL,6.3,"1,992 reviews",8.3,
Metropolitan Hotel Dubai,Review score,"3,574 reviews",8.2,
Damac Reva,8.2,"8,478 reviews",7.9,
Citymax Hotel Business Bay,Very good,"4,461 reviews",7.7,
Flora Inn Hotel Dubai Airport,7.8,"1,367 reviews",8.3,
"Lemon Tree Hotel, Jumeirah Dubai",Good,"6,860 reviews",8.6,
"voco Dubai, an IHG Hotel",8.1,"4,898 reviews",7.4,
Swissôtel Al Murooj Dubai,Very good,"3,312 reviews",7.8,
Ibis Styles Dubai Jumeira,8.3,"6,122 reviews",6.8,
"Four Points by Sheraton Production City, Dubai",Very good,"5,305 reviews",7.5,
"Leva Hotel and Suites, Opposite Downtown",8.2,1 review,8.0,
Ibis One Central - World Trade Centre Dubai,Very good,812 reviews,8.2,
Grandeur Hotel Al Barsha,7.9,"1,656 reviews",7.9,
Radisson RED Dubai Silicon Oasis,Good,"1,551 reviews",7.9,
"Occidental Al Jaddaf, Dubai",7.9,"8,477 reviews",8.4,
Jacob's Garden Hotel,Good,992 reviews,7.9,
Cozy Haven Studio,8.4,"3,486 reviews",8.3,
Avani Ibn Battuta Dubai Hotel,Very good,"4,765 reviews",7.4,
Hampton By Hilton Dubai Airport,7.9,"2,203 reviews",7.8,
Dubai Delight: Stylish 2BR in the Heart of Marina,Good,"9,858 reviews",8.9,
"Radisson Blu Hotel, Dubai Media City",8.3,"2,384 reviews",7.5,
The Meydan Hotel Dubai,Very good,"7,809 reviews",8.0,
Promotional Price for Short stay Furnished 1 BHK,7.4,872 reviews,7.9,
Novotel Dubai Al Barsha,Good,"5,543 reviews",7.6,
Ramada by Wyndham Dubai Deira,7.8,"3,609 reviews",8.9,
La Quinta by Wyndham Dubai Jumeirah,Good,"4,818 reviews",8.9,
"Down Town Dubai, 2 min for Dubai Mall",8.9,"1,113 reviews",7.5,
Ibis Deira City Centre,Fabulous,"6,686 reviews",8.9,
Rove Expo 2020,7.5,"1,542 reviews",8.3,
Rove At The Park,Good,800 reviews,7.6,
Hilton Garden Inn Dubai Al Muraqabat - Deira,8.0,151 reviews,9.4,
Park Regis Kris Kin Hotel,7.9,"2,639 reviews",7.9,
"Millennium Plaza Downtown, Dubai",Good,"1,674 reviews",7.2,
Mercure Hotel Apartments Dubai Barsha Heights,7.2,"4,108 reviews",7.9,
City Seasons Towers Hotel Bur Dubai,Good,"7,317 reviews",7.4,
Great 1BR Apartment in Sport City,7.9,2 reviews,9.5,
SUITESTAY Address Dubai Mall,Good,60 reviews,9.1,
Poetry of the Shadows by Lagom,7.4,4 reviews,10,
DoubleTree by Hilton Dubai - Business Bay,Good,"3,613 reviews",8.8,
Taj Dubai,9.5,"6,138 reviews",8.9,
"Radisson Blu Hotel, Dubai Canal View",Exceptional,"5,780 reviews",8.6,
1 bedroom in DIFC,9.1,2 reviews,1.0,
Citymax Hotel Bur Dubai,Superb,"9,245 reviews",6.9,
"Aloft Me'aisam, Dubai",10,"1,018 reviews",8.0,
"Al Seef Heritage Hotel Dubai, Curio Collection by Hilton",Exceptional,"2,686 reviews",8.2,
Centara Mirage Beach Resort Dubai,8.8,"5,885 reviews",8.4,
ROYAL CONCORDE HOTEL&SUITE,Fabulous,97 reviews,7.2,
"Le Meridien Dubai Hotel, Royal Club & Conference Centre",8.9,"5,892 reviews",8.6,
Aloft Palm Jumeirah,Fabulous,"2,776 reviews",8.3,
Al Khoory Sky Garden Hotel,8.6,"5,162 reviews",8.3,
Hilton Dubai Al Habtoor City,Fabulous,"3,301 reviews",8.3,
Quasi-Hotels Zada Luxe Comfort 1BR in Business Bay,1.0,1 review,1.0,
Ramada Downtown Dubai,Review score,"8,172 reviews",8.5,
Copthorne Hotel Dubai,6.9,"3,422 reviews",7.9,
Royal Central Hotel and Resort The Palm,Review score,"7,818 reviews",8.6,
Mercure Dubai Barsha Heights Hotel Suites,8.0,"6,621 reviews",8.5,
Le Paradise Palace,6.3,383 reviews,6.3,
"Rove La Mer Beach, Jumeirah",Review score,"7,418 reviews",8.9,
Mövenpick Hotel Jumeirah Lakes Towers Dubai,8.9,"2,468 reviews",7.9,
Studio Apartment in DAMAC Prive Businessbay with Dubai Canal View,Fabulous,1 review,1.0,
Modern 1BR/ Stella Maris/ Dubai Marina /by Rich Stay,7.9,"2,787 reviews",8.9,
"Hotel Indigo Dubai Downtown, an IHG Hotel",Good,"2,943 reviews",7.9,
"Holiday Inn Express Dubai Safa Park, an IHG Hotel",1.0,12 reviews,8.2,
Pyramisa Hotel Apartments,Review score,411 reviews,5.6,
Al Badaa Star Residence - Home Stay,8.9,"3,111 reviews",4.6,
Raintree Rolla Hotel,Fabulous,"3,058 reviews",7.9,
Spacious -Upgraded Studio Close to Metro- Tecom,7.9,"4,546 reviews",8.3,
"TIME Grand Plaza Hotel, Dubai Airport",Good,"1,780 reviews",8.0,
Premier Inn Dubai Investments Park,8.2,669 reviews,6.1,
Aparthotel Adagio Dubai Deira,Very good,"10,043 reviews",8.6,
MRA Grand Hotel,5.6,1 review,7.0,
The First Collection at Jumeirah Village Circle,Review score,"4,276 reviews",8.2,
Magnificent - DAMAC Maison Distinction 23 Floor,4.6,"3,316 reviews",8.7,
Mövenpick Hotel Jumeirah Beach,Review score,"4,083 reviews",8.4,
Shangri-La Dubai,7.9,938 reviews,8.5,
Millennium Place Barsha Heights Hotel Apartments,Good,403 reviews,8.1,
Asiana Grand Hotel,8.3,"2,067 reviews",8.1,
Aloft Dubai South,Very good,"16,939 reviews",8.4,
Arjaan by Rotana - Dubai Media City,8.0,15 reviews,7.9,
Swissôtel Al Ghurair Dubai,8.1,"8,317 reviews",8.1,
DoubleTree by Hilton Dubai Al Jadaf,Very good,"3,330 reviews",8.1,
Lux BnB 1BD The Greens Parking Pool Gym,8.1,5 reviews,7.2,
DoubleTree by Hilton Hotel and Residences Dubai – Al Barsha,Very good,"1,702 reviews",7.3,
ESAW Holidays Home,7.2,1 review,7.0,
"Holiday Inn Express Dubai Internet City, an IHG Hotel",Good,"3,789 reviews",8.2,
JA Beach Hotel (JA The Resort),7.3,"2,084 reviews",8.1,
VACATION STAY near ADCB METRO & SHARAF DG METRO Stations,Good,88 reviews,6.0,
Aloft Dubai Airport,7.0,"3,312 reviews",8.3,
Studio M Arabian Plaza Hotel & Hotel Apartments,Good,"8,297 reviews",8.3,
Superb Studio in Luma 21-JVC,8.2,"6,407 reviews",8.1,
GuestReady - Sunny Delights,Very good,"2,683 reviews",8.4,
Grand Mercure Dubai,8.1,"7,668 reviews",8.1,
Aloft Dubai Creek,Very good,"5,662 reviews",7.6,
Cozy & Spacious 3 bed apt in Dubai,6.0,"3,461 reviews",8.2,
Hyatt Regency Creek Heights Residences,Review score,"1,656 reviews",7.0,
Premier Inn Dubai Dragon Mart,8.3,"4,965 reviews",8.3,
The S Hotel Al Barsha,Very good,"1,009 reviews",8.0,
KSK Homes Hotel Dubai Academic City,8.3,284 reviews,7.1,
JA Ocean View Hotel,Very good,"1,358 reviews",8.5,
"Staybridge Suites Dubai Al-Maktoum Airport, an IHG Hotel",8.1,"2,711 reviews",8.5,
eStay Inn Hotel,Very good,"1,355 reviews",7.9,
York International Hotel,4.0,"4,259 reviews",4.0,
JA Lake View Hotel (JA The Resort),Review score,"1,065 reviews",8.6,
Jumeirah Emirates Towers,8.6,"3,919 reviews",9.0,
Mövenpick Grand Al Bustan,Fabulous,"4,405 reviews",7.4,
LHG ADDRESS BEACH Residence,9.0,6 reviews,4.8,
Excelsior Hotel Downtown,Superb,"2,184 reviews",7.8,
Hyatt Centric Jumeirah Dubai,7.4,"1,086 reviews",8.6,
MK Residence by Be Our Guest,Good,237 reviews,6.9,
Al Khaleej Palace Deira Hotel,4.8,"1,243 reviews",6.9,
CitiHome-3BR Marina with private beach,Review score,5 reviews,10,
MH- Cozy 2 BHK Canal View ref-25016,7.8,485 reviews,8.5,
Kasco Homes - Waves Tower Business Bay,Good,121 reviews,8.8,
GOODWOOD SUITES HOMES VACATION,8.6,3 reviews,7.3,
Dream House Hostel G06 P-08,Fabulous,"4,370 reviews",8.0,
Park Regis Business Bay,6.9,"1,268 reviews",8.6,
City Seasons Suites,Review score,1 review,10,
Super Studio By Salman,6.9,"3,421 reviews",8.5,
Sofitel Dubai The Palm Resort & Spa,Review score,711 reviews,7.8,
Fortune Park Hotel,10,"1,590 reviews",8.9,
"Zabeel House by Jumeirah, The Greens",Exceptional,"8,730 reviews",8.4,
Paramount Hotel Dubai,8.5,"1,381 reviews",9.1,
Raffles The Palm,Very good,"3,105 reviews",9.0,
Edge Creekside Hotel,8.8,1 review,10,
LuxBnB Studio Suite Business Bay,Fabulous,"4,120 reviews",6.6,
"Deluxe Studio Address Dubai Mall ""The Residence""",8.8,83 reviews,8.8,
"29 Boulevard contemporary & spacious apartment, Burj & Fountain View",Fabulous,19 reviews,9.0,
New Apartments by GLOBALSTAY in Business Bay Free parking,9.0,181 reviews,7.8,
Burj Khalifa & Fountain Downtown Views Ultima Vacation Homes,Superb,11 reviews,9.1,
"Elegant, stylish and luxurious 2 bed",7.8,12 reviews,9.6,
Amazing View I 1min Walk to Marina Mall I Close to Beach,Good,"2,434 reviews",8.1,
"GLOBALSTAY Holiday Homes - Sarai Apartments, Beach, Pool, Gym",9.1,774 reviews,8.5,
Beach Walk Boutique Jumeirah,Superb,231 reviews,6.3,
Three 888 Hotel,9.6,"2,016 reviews",8.0,
"Radisson Blu Residence, Dubai Marina",Exceptional,"2,497 reviews",8.0,
STAY Perfect 1BR Holiday Home near Burj Khalifa,8.1,"2,767 reviews",7.6,
Hyatt Place Dubai Baniyas Square,Very good,"1,753 reviews",8.5,
"The Apartments, Dubai World Trade Centre Hotel Apartments",8.5,"2,610 reviews",7.7,
Four Points by Sheraton Bur Dubai,Very good,"1,746 reviews",8.4,
Majestic City Retreat Hotel,6.3,"3,185 reviews",8.2,
TIME Oak Hotel & Suites,Review score,"6,712 reviews",8.2,
Hampton By Hilton Dubai Al Barsha,8.0,234 reviews,4.9,
The Retreat Palm Dubai MGallery by Sofitel,Very good,"2,249 reviews",7.8,
Abu Hail Star Residence - Home Stay,8.0,"8,058 reviews",8.4,
Hyatt Place Dubai Al Rigga Residences,Very good,"8,011 reviews",8.6,
Premier Inn Dubai Al Jaddaf,7.6,15 reviews,7.7,
Golden Tulip Media Hotel,Good,"3,062 reviews",8.4,
ABIDOS HOLIDAY HOMES Windsor Residence,8.5,"4,396 reviews",8.7,
RAF Hotel Apartments,7.2,588 reviews,7.2,
Flora Al Barsha Hotel At The Mall,Good,"8,647 reviews",8.3,
The H Dubai,8.3,"1,841 reviews",8.0,
Grand Plaza Mövenpick,Very good,"3,336 reviews",9.0,
Staycae - Emaar Beach Isle,8.0,"1,780 reviews",6.2,
Ramee Rose Hotel,Very good,48 reviews,7.3,
Cube Hotel Dubai formerly Al Buraq Hotel Al Ras,9.0,"1,449 reviews",8.2,
"Crowne Plaza - Dubai Jumeirah, an IHG Hotel",Superb,"1,424 reviews",8.6,
"Arabian Park Dubai, an Edge by Rotana Hotel",6.2,"1,651 reviews",6.9,
Chelsea Plaza Hotel,Review score,2 reviews,5.5,
Mazin Building,7.3,"3,584 reviews",8.4,
The Manor By JA,Good,563 reviews,4.9,
Warsan Star Residence - Home Stay,8.2,"8,298 reviews",8.1,
Premier Inn Dubai Ibn Battuta Mall,Very good,"3,289 reviews",8.6,
Key View - Manchester Tower,8.6,"3,595 reviews",8.8,
JW Marriott Marquis Hotel Dubai,Fabulous,"3,012 reviews",8.3,
Jumeirah Creekside Hotel,6.9,"2,284 reviews",7.1,
Towers Rotana - Dubai,Review score,877 reviews,7.8,
Ramada Plaza by Wyndham Dubai Deira,5.5,"1,621 reviews",9.0,
Avani Deira Dubai Hotel,Review score,6 reviews,7.5,
Hilton Dubai Palm Jumeirah,8.4,"1,287 reviews",7.6,
Villa 29 Suite B - Vacation Home,Very good,1 review,10,
"Holiday Inn Dubai Al Barsha, an IHG Hotel",4.9,"38,331 reviews",9.1,
MVV Motel & Comfy Kew Apartments,7.5,358 reviews,7.5,"Kew, Melbourne"
"The Ritz-Carlton, Melbourne",Good,254 reviews,9.0,Show on map
Clarion Suites Gateway,9.0,"3,083 reviews",8.5,"Melbourne CBD, Melbourne"
Causeway 353 Hotel,Superb,"6,982 reviews",8.0,Show on map
ibis Budget - Melbourne CBD,8.5,"3,050 reviews",6.6,"Melbourne CBD, Melbourne"
ibis Melbourne Hotel and Apartments,Very good,"2,889 reviews",7.5,Show on map
Dorsett Melbourne,8.0,"1,504 reviews",8.6,"Melbourne CBD, Melbourne"
Rydges Melbourne,Very good,801 reviews,9.1,Show on map
ibis Styles Kingsgate Hotel,6.6,"2,494 reviews",7.4,"Melbourne CBD, Melbourne"
ibis Melbourne Central,Review score,"3,864 reviews",8.2,Show on map
YEHS Hotel Melbourne CBD,7.5,"8,426 reviews",8.4,"Melbourne CBD, Melbourne"
YTI Garden Hotel,Good,"2,125 reviews",7.0,Show on map
Mantra Melbourne Airport,8.6,"3,109 reviews",7.7,"Melbourne CBD, Melbourne"
Great Southern Hotel Melbourne,Fabulous,"6,943 reviews",7.5,Show on map
The Victoria Hotel,9.1,"10,236 reviews",8.1,"Melbourne CBD, Melbourne"
Art Series - The Cullen,Superb,"1,038 reviews",8.6,Show on map
"Adina Apartment Hotel Melbourne, Pentridge",7.4,781 reviews,9.0,"Melbourne CBD, Melbourne"
ibis Budget - Fawkner,Good,"2,365 reviews",5.6,Show on map
"Holiday Inn Melbourne Airport, an IHG Hotel",8.2,"5,289 reviews",8.2,"Melbourne CBD, Melbourne"
Brunswick Tower Hotel,Very good,699 reviews,7.2,Show on map
Royal Hotel by Nightcap Social,8.4,476 reviews,8.3,"Melbourne CBD, Melbourne"
Mercure Melbourne St Kilda Road,Very good,191 reviews,7.8,Show on map
Novotel Melbourne South Wharf,7.0,"4,363 reviews",8.5,"Melbourne CBD, Melbourne"
Toorak Manor Hotel,Good,748 reviews,8.4,Show on map
Novotel Melbourne On Collins,7.7,"2,271 reviews",7.8,"Tullamarine, Melbourne"
Naima Hotel,Good,329 reviews,7.9,Show on map
lyf Collingwood Melbourne,8.6,"1,157 reviews",8.6,"Collingwood, Melbourne"
CitiClub Hotel Melbourne,Fabulous,"1,988 reviews",7.3,Show on map
Grand Hyatt Melbourne,7.3,"4,658 reviews",8.6,"Melbourne CBD, Melbourne"
Pan Pacific Melbourne,Good,"2,728 reviews",8.7,Show on map
Novotel Melbourne Preston,8.6,881 reviews,8.1,"Melbourne CBD, Melbourne"
Adina Apartment Hotel Melbourne Southbank,Fabulous,"4,048 reviews",8.8,Show on map
Park Hyatt Melbourne,8.7,"1,536 reviews",9.1,"Melbourne CBD, Melbourne"
Mercure Melbourne Albert Park,Fabulous,"1,687 reviews",7.2,Show on map
Nesuto Docklands,8.1,942 reviews,9.0,"Preston, Melbourne"
DoubleTree by Hilton Melbourne,Very good,"1,573 reviews",8.5,Show on map
Sixty Two On Grey Serviced Apartments,8.8,519 reviews,7.3,"Southbank, Melbourne"
Mercure Welcome Melbourne,Fabulous,"2,940 reviews",7.5,Show on map
"Holiday Inn Express Melbourne Southbank, an IHG Hotel",9.1,"2,243 reviews",8.2,"East Melbourne, Melbourne"
Porter Club - The Kinson,Superb,822 reviews,8.7,Show on map
Saint Kilda Beach Hotel - formerly Rydges St Kilda,7.2,"1,853 reviews",7.1,"Albert Park, Melbourne"
Brady Hotels Central Melbourne,Good,"2,258 reviews",8.4,Show on map
Crest on Park,9.0,"1,028 reviews",7.2,"Docklands, Melbourne"
Vibe Hotel Melbourne,Superb,"4,413 reviews",8.8,Show on map
Stamford Plaza Melbourne,8.5,"5,998 reviews",7.6,"Melbourne CBD, Melbourne"
Crown Towers Melbourne,Very good,"4,950 reviews",8.9,Show on map
Pullman Melbourne On the Park,7.3,"1,718 reviews",8.8,"St Kilda, Melbourne"
Travelodge Hotel Melbourne Docklands,Good,"6,385 reviews",7.8,Show on map
Hotel Collins,7.5,"2,609 reviews",8.1,"Melbourne CBD, Melbourne"
"Crowne Plaza Melbourne, an IHG Hotel",Good,"5,393 reviews",8.4,Show on map
Nightcap at Excelsior Hotel,8.2,413 reviews,7.8,"Southbank, Melbourne"
Citadines on Bourke Melbourne,8.3,"5,217 reviews",8.3,"Melbourne CBD, Melbourne"
Imagine Marco,Very good,"3,591 reviews",7.6,Show on map
Batman's Hill on Collins,7.6,"3,598 reviews",7.8,"Southbank, Melbourne"
"Kimberley Gardens Hotel, Serviced Apartments and Serviced Villas",Good,"1,021 reviews",8.2,Show on map
Crest on Park,7.8,"1,028 reviews",7.2,"Melbourne CBD, Melbourne"
Tolarno Hotel,Good,"1,345 reviews",8.0,Show on map
Art Series - The Olsen,8.2,"1,162 reviews",7.8,"St Kilda, Melbourne"
Plough Hotel,Very good,368 reviews,7.9,Show on map
Hyatt Centric Melbourne,7.2,"1,090 reviews",8.6,"St Kilda, Melbourne"
Cosmopolitan Hotel Melbourne,Good,"1,830 reviews",7.7,Show on map
Hotel Collins,8.0,"2,609 reviews",8.1,"St Kilda, Melbourne"
Quality Hotel Melbourne Airport,Very good,"2,763 reviews",8.2,Show on map
Element Melbourne Richmond,7.8,979 reviews,8.6,"South Yarra, Melbourne"
Mercure Melbourne Southbank,Good,"4,278 reviews",7.8,Show on map
"Holiday Inn Express Melbourne Little Collins, an IHG Hotel",7.9,"2,595 reviews",8.3,"Footscray, Melbourne"
Lancemore Crossley St. Melbourne,Good,"1,557 reviews",8.6,Show on map
BEST WESTERN PLUS Travel Inn,8.6,875 reviews,7.8,"Melbourne CBD, Melbourne"
"The Ritz-Carlton, Melbourne",Fabulous,254 reviews,9.0,Show on map
Oaks Melbourne on William Suites,7.7,"4,126 reviews",7.9,"St Kilda, Melbourne"
WRAP on Southbank,Good,"3,628 reviews",8.2,Show on map
MVV Motel & Comfy Kew Apartments,8.1,358 reviews,7.5,"Melbourne CBD, Melbourne"
Quest Flemington Central,Very good,"1,307 reviews",8.3,Show on map
Ink Hotel Melbourne Southbank,8.2,"3,142 reviews",8.5,Melbourne
Davis Avenue Apartments,Very good,293 reviews,8.3,Show on map
Middle Park Hotel,8.6,747 reviews,8.1,Melbourne
ibis Budget - Melbourne Airport,6.2,"4,482 reviews",6.2,Melbourne
Alto Hotel On Bourke,Review score,879 reviews,8.4,Show on map
Novotel Melbourne Central,8.4,"1,536 reviews",8.1,"Melbourne CBD, Melbourne"
Laneways by Ovolo,Very good,483 reviews,8.8,Show on map
Citadines on Bourke Melbourne,8.1,"5,217 reviews",8.3,"Melbourne CBD, Melbourne"
Miami Hotel Melbourne,Very good,"2,122 reviews",8.2,Show on map
Essence Hotel Carlton,8.8,922 reviews,7.5,"Melbourne CBD, Melbourne"
voco Melbourne Central,Fabulous,"1,652 reviews",8.6,Show on map
Carlton Lygon Lodge,8.3,885 reviews,7.9,"Melbourne CBD, Melbourne"
Quest Brighton on the Bay,Very good,547 reviews,8.4,Show on map
Imagine Marco,8.2,"3,591 reviews",7.6,"West Melbourne, Melbourne"
Pullman Melbourne Albert Park,Very good,760 reviews,7.3,Show on map
Oaks Melbourne on Market Hotel,7.5,"4,533 reviews",8.0,"Carlton, Melbourne"
Punthill Apartment Hotel - Little Bourke,Good,"1,224 reviews",7.2,Show on map
Arrow on Swanston,8.6,"4,062 reviews",5.6,"Melbourne CBD, Melbourne"
Aussie Escape Apartments,Fabulous,501 reviews,8.6,Show on map
Flinders Landing Apartments,7.9,"2,560 reviews",7.9,"Carlton, Melbourne"
Melbourne Carlton Central Apartment Hotel,Good,521 reviews,7.3,Show on map
Brighton Serviced Apartments,8.4,491 reviews,7.4,"Brighton, Melbourne"
Pullman Melbourne on Swanston,Very good,844 reviews,8.4,Show on map
"InterContinental Melbourne The Rialto, an IHG Hotel",7.6,862 reviews,8.2,"Southbank, Melbourne"
Together Co-Living Melbourne,Good,342 reviews,7.8,Show on map
Seasons Heritage Melbourne,7.3,574 reviews,6.2,"Albert Park, Melbourne"
The Como Melbourne - MGallery,Good,"1,121 reviews",8.6,Show on map
Brady Apartment Hotel Hardware Lane,8.0,"1,862 reviews",8.6,"Melbourne CBD, Melbourne"
Park Regis Griffin Suites,7.9,983 reviews,7.9,"St Kilda Road, Melbourne"
Quest Prahran,Good,468 reviews,8.2,Show on map
Selina Central Melbourne,8.2,647 reviews,8.3,"South Yarra, Melbourne"
Sofitel Melbourne On Collins,Very good,906 reviews,8.6,Show on map
Oaks Melbourne on William Suites,8.3,"4,126 reviews",7.9,"Melbourne CBD, Melbourne"
Pegasus Apart-Hotel,Very good,"4,931 reviews",7.9,Show on map
Birches Serviced Apartments,8.6,460 reviews,7.8,"Melbourne CBD, Melbourne"
Lanbruk Richmond Hill,Fabulous,647 reviews,9.0,Show on map
Coburg Motor Inn,7.9,30 reviews,4.8,"Melbourne CBD, Melbourne"
Movenpick Hotel Melbourne On Spencer,Good,"1,200 reviews",8.7,Show on map
WRAP on Southbank,7.9,"3,628 reviews",8.2,"Melbourne CBD, Melbourne"
Anchorage Apartments Hampton,Good,150 reviews,7.9,Show on map
Quality Apartments Melbourne Central,7.8,"1,554 reviews",7.8,"East Melbourne, Melbourne"
Mercure North Melbourne,Good,"1,648 reviews",7.4,Show on map
Quest East Melbourne,9.0,579 reviews,8.3,"Richmond, Melbourne"
Apartments on Chapman,Superb,262 reviews,7.3,Show on map
Carlton Hotel,4.8,644 reviews,6.1,Melbourne
Quest on Dorcas,Review score,703 reviews,8.3,Show on map
Mantra Southbank,8.7,"1,562 reviews",7.9,"Melbourne CBD, Melbourne"
Next Hotel Melbourne,Fabulous,"1,679 reviews",9.1,Show on map
Veriu Queen Victoria Market,8.2,855 reviews,9.0,"Southbank, Melbourne"
Oaks Melbourne South Yarra Suites,Very good,950 reviews,8.5,Show on map
Art Series - The Larwill Studio,7.9,752 reviews,8.6,"Hampton, Melbourne"
Meriton Suites King Street Melbourne,Good,82 reviews,8.8,Show on map
Comfort Hotel Melbourne Central,7.8,56 reviews,6.3,"Melbourne CBD, Melbourne"
View Melbourne,8.2,"2,208 reviews",8.2,"St Kilda Road, Melbourne"
Mercure Melbourne Therry Street,Very good,399 reviews,6.8,Show on map
SoYa Apartment Hotel,6.8,179 reviews,8.5,"Melbourne CBD, Melbourne"
Punthill South Yarra Grand,Review score,537 reviews,7.2,Show on map
MVV Motel & Comfy Kew Apartments,8.5,358 reviews,7.5,"South Yarra, Melbourne"
Clocktower Apartment Hotel,Very good,515 reviews,7.8,Show on map
Best Western Queen Victoria Market Hotel,7.2,174 reviews,8.5,"South Yarra, Melbourne"
Adina Apartment Hotel Melbourne,Good,"1,404 reviews",8.4,Show on map
Quest Ivanhoe,7.5,289 reviews,7.9,"Kew, Melbourne"
Meadow Inn Hotel-Motel,Good,533 reviews,6.4,Show on map
Quest Flemington Central,7.8,"1,307 reviews",8.3,"Carlton, Melbourne"
Quest Moonee Valley,Good,393 reviews,8.1,Show on map
Quest St Kilda Bayside,8.5,"1,146 reviews",7.9,"West Melbourne, Melbourne"
The Jazz Corner Hotel Melbourne,Very good,902 reviews,8.5,Show on map
Comfort Hotel East Melbourne,8.4,645 reviews,6.2,"Melbourne CBD, Melbourne"
Mantra 100 Exhibition,Very good,806 reviews,7.6,Show on map
W Melbourne,7.9,"2,293 reviews",8.8,Melbourne
Punthill Apartment Hotel - Manhattan,Good,840 reviews,7.5,Show on map
Oaks Melbourne on Collins Hotel,6.4,"4,147 reviews",6.8,Melbourne
District South Yarra,Review score,582 reviews,8.4,Show on map
Hotel Sophia,8.3,662 reviews,6.4,"Flemington , Melbourne"
Oaks Melbourne on Lonsdale Suites,Very good,"3,161 reviews",7.7,Show on map
City Edge South Melbourne Apartment Hotel,8.1,602 reviews,7.1,Melbourne
AKOM AT Docklands,Very good,479 reviews,8.4,Show on map
Quay West Suites Melbourne,7.9,"2,220 reviews",8.9,"St Kilda, Melbourne"
Adelphi Hotel,8.3,756 reviews,8.3,"Melbourne CBD, Melbourne"
Melbourne Kew Central Apartments,Very good,213 reviews,6.2,Show on map
Como Court Budget Accommodation,6.2,467 reviews,6.5,"Kew, Melbourne"
Footscray Motor Inn and Serviced Apartments,Review score,808 reviews,6.9,Show on map
Davis Avenue Apartments,6.5,293 reviews,8.3,"St Kilda, Melbourne"
The Savoy Hotel on Little Collins Melbourne,Review score,"2,907 reviews",8.6,Show on map
Hotel 115,6.9,625 reviews,8.6,"Footscray, Melbourne"
Melbourne South Yarra Central Apartment Hotel,Review score,429 reviews,7.8,Show on map
381 Cremorne,8.3,849 reviews,8.5,"South Yarra, Melbourne"
Aligned Corporate Residences Kew,Very good,160 reviews,8.3,Show on map
Mantra on Jolimont,8.6,"1,770 reviews",7.8,"Melbourne CBD, Melbourne"
Melbourne City Apartment Hotel,Fabulous,"1,570 reviews",8.9,Show on map
Camberwell Serviced Apartments,8.6,508 reviews,8.5,"Kew, Melbourne"
Wyndham Hotel Melbourne,Fabulous,"1,444 reviews",8.2,Show on map
The Interlude,7.8,261 reviews,7.9,"South Yarra, Melbourne"
Hiigh Apartments,Good,657 reviews,7.9,Show on map
Saint Domain,8.5,"3,260 reviews",7.9,"Cremorne , Melbourne"
Oaks Melbourne Southbank Suites,Very good,790 reviews,8.2,Show on map
Shadow Play by Peppers,8.3,"1,064 reviews",8.8,"Kew, Melbourne"
Ovolo South Yarra,Very good,"1,192 reviews",8.0,Show on map
Peppers Docklands,7.8,48 reviews,5.8,"East Melbourne, Melbourne"
Fawkner Mansions Heritage Hotel,Good,176 reviews,6.5,Show on map
Plum Serviced Apartments North Melbourne,8.9,"1,114 reviews",6.8,"West Melbourne, Melbourne"
Hawthorn Gardens Serviced Apartments,Fabulous,"2,291 reviews",8.0,Show on map
